iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,      83,      17,       57.7900000000,        5.0000000000,        0.1287231760,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      84,      17,       59.6800000000,        5.0000000000,        7.9720565760,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      85,      17,       61.5800000000,        5.0000000000,        9.3408696320,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      86,      15,      -71.0500000000,        7.5000000000,       19.0173777920,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      87,      17,      -69.1600000000,        7.5000000000,        2.4802042880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      88,      17,       -0.9500000000,        7.5000000000,        1.2384519680,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      89,       8,        4.7400000000,        7.5000000000,       36.0306933760,        0.4507414382,        1.4541608506,        0.0543870238,        0.0653705334,        1.3758444672,        1.8334793324,        3.0550674640,
     1,      90,       8,        6.6300000000,        7.5000000000,       58.1772984320,        0.3997393180,        1.2833059595,        0.0444807532,        0.0540220408,        1.1460892913,        1.6823342386,        2.4190381311,
     1,      91,       8,        8.5300000000,        7.5000000000,       57.9218554880,        0.4118602821,        1.2956706368,        0.0432288959,        0.0504625305,        1.0263725652,        1.6929026032,        1.8938076202,
     1,      92,       9,       10.4200000000,        7.5000000000,       57.6030760960,        0.4684252180,        1.4125527178,        0.0558860150,        0.0656697035,        1.3779418173,        1.7579241698,        3.6953476393,
     1,      93,      14,       12.3200000000,        7.5000000000,       57.2213043200,        0.5265969952,        1.3801946368,        0.0828434291,        0.0870619259,        1.1841125845,        1.5748524972,        1.9023268591,
