ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   538,  18.00,  12.50, 0.90000, 0.05000, 0.05000, 0.09611, 0.14611, 0.37573,
   539,  19.89,  12.50, 0.26788, 0.14160, 0.59052, 0.16363, 0.25656, 0.45540,
   540,  21.79,  12.50, 0.26788, 0.14160, 0.59052, 0.16363, 0.25655, 0.45538,
   541,  23.68,  12.50, 0.90000, 0.05000, 0.05000, 0.09614, 0.14614, 0.37574,
   542,  25.58,  12.50, 0.90000, 0.05000, 0.05000, 0.09608, 0.14608, 0.37572,
   543,  27.47,  12.50, 0.90000, 0.05000, 0.05000, 0.09615, 0.14615, 0.37575,
   544,  29.37,  12.50, 0.46471, 0.22035, 0.31495, 0.13516, 0.25469, 0.43066,
   545,  31.26,  12.50, 0.46471, 0.22035, 0.31495, 0.13516, 0.25474, 0.43071,
   546,  33.16,  12.50, 0.43345, 0.19050, 0.37605, 0.13155, 0.25046, 0.43462,
   548,  36.95,  12.50, 0.50281, 0.23233, 0.26485, 0.13547, 0.25344, 0.42626,
   550,  40.74,  12.50, 0.45246, 0.29814, 0.24940, 0.16530, 0.27559, 0.43286,
   551,  42.63,  12.50, 0.36294, 0.23510, 0.40196, 0.15134, 0.27294, 0.44449,
   552,  44.53,  12.50, 0.44020, 0.26248, 0.29732, 0.15202, 0.26918, 0.43442,
   553,  46.42,  12.50, 0.62503, 0.12437, 0.25060, 0.10085, 0.20592, 0.41198,
   554,  48.32,  12.50, 0.38705, 0.23189, 0.38106, 0.14750, 0.26880, 0.44200,
   555,  50.21,  12.50, 0.48018, 0.23345, 0.28637, 0.13795, 0.25708, 0.43017,
   556,  52.11,  12.50, 0.50173, 0.21200, 0.28627, 0.12854, 0.24944, 0.42830,
   557,  54.00,  12.50, 0.38705, 0.23189, 0.38106, 0.14750, 0.26859, 0.44146,
   558,  55.89,  12.50, 0.35986, 0.26114, 0.37900, 0.15903, 0.28130, 0.44697,
   559,  57.79,  12.50, 0.57912, 0.12097, 0.29991, 0.10881, 0.21232, 0.42219,
   560,  59.68,  12.50, 0.60779, 0.12158, 0.27063, 0.10413, 0.21024, 0.42449,
   561,  61.58,  12.50, 0.60779, 0.12158, 0.27063, 0.10413, 0.21330, 0.43021,
   562,  63.47,  12.50, 0.53599, 0.19582, 0.26820, 0.11985, 0.24269, 0.43007,
   563,  65.37,  12.50, 0.53599, 0.19582, 0.26820, 0.11985, 0.24130, 0.42920,
   564,  67.26,  12.50, 0.63981, 0.14924, 0.21095, 0.09774, 0.21330, 0.41215,
   570,  78.63,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
