ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   634,  18.00,  15.00, 0.76664, 0.06104, 0.17231, 0.11561, 0.16561, 0.39455,
   635,  19.89,  15.00, 0.90000, 0.05000, 0.05000, 0.09730, 0.14730, 0.37779,
   636,  21.79,  15.00, 0.26339, 0.13018, 0.60643, 0.16876, 0.25461, 0.45786,
   637,  23.68,  15.00, 0.40429, 0.14534, 0.45038, 0.13423, 0.24121, 0.44029,
   638,  25.58,  15.00, 0.40429, 0.14534, 0.45038, 0.13423, 0.24116, 0.44021,
   639,  27.47,  15.00, 0.40429, 0.14534, 0.45038, 0.13423, 0.24111, 0.44015,
   640,  29.37,  15.00, 0.44908, 0.22594, 0.32497, 0.13861, 0.25956, 0.43468,
   641,  31.26,  15.00, 0.44908, 0.22594, 0.32497, 0.13861, 0.25990, 0.43519,
   642,  33.16,  15.00, 0.47197, 0.16125, 0.36677, 0.12201, 0.23807, 0.43236,
   644,  36.95,  15.00, 0.49054, 0.23661, 0.27285, 0.13814, 0.25834, 0.43167,
   645,  38.84,  15.00, 0.40882, 0.24154, 0.34963, 0.14783, 0.27048, 0.44243,
   646,  40.74,  15.00, 0.46588, 0.23729, 0.29682, 0.14066, 0.26232, 0.43582,
   647,  42.63,  15.00, 0.34425, 0.22675, 0.42900, 0.15176, 0.27525, 0.45010,
   648,  44.53,  15.00, 0.52472, 0.27128, 0.20400, 0.15005, 0.26236, 0.42832,
   649,  46.42,  15.00, 0.49410, 0.21862, 0.28727, 0.13149, 0.25320, 0.43263,
   650,  48.32,  15.00, 0.28700, 0.22949, 0.48351, 0.16065, 0.28414, 0.45845,
   651,  50.21,  15.00, 0.47307, 0.24728, 0.27965, 0.14363, 0.26404, 0.43537,
   652,  52.11,  15.00, 0.52194, 0.20026, 0.27780, 0.12272, 0.24647, 0.43181,
   653,  54.00,  15.00, 0.42990, 0.03024, 0.53986, 0.14456, 0.19456, 0.44316,
   654,  55.89,  15.00, 0.57661, 0.13328, 0.29011, 0.10653, 0.21919, 0.42787,
   655,  57.79,  15.00, 0.57661, 0.13328, 0.29011, 0.10653, 0.21893, 0.42829,
   656,  59.68,  15.00, 0.59912, 0.10091, 0.29997, 0.11589, 0.20644, 0.42896,
   657,  61.58,  15.00, 0.60897, 0.12099, 0.27004, 0.10412, 0.21403, 0.43092,
   658,  63.47,  15.00, 0.60897, 0.12099, 0.27004, 0.10412, 0.21402, 0.43097,
   659,  65.37,  15.00, 0.53991, 0.19057, 0.26952, 0.11792, 0.24469, 0.43973,
   660,  67.26,  15.00, 0.70538, 0.13042, 0.16420, 0.08933, 0.20338, 0.41178,
   661,  69.16,  15.00, 0.53818, 0.19276, 0.26906, 0.11872, 0.24203, 0.43149,
   665,  76.74,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   666,  78.63,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   667,  80.53,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   684, -69.16,  17.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   703, -33.16,  17.50, 0.51149, 0.26081, 0.22771, 0.14621, 0.25941, 0.42753,
   704, -31.26,  17.50, 0.52769, 0.17243, 0.29988, 0.11528, 0.23453, 0.42545,
   705, -29.37,  17.50, 0.52769, 0.17243, 0.29988, 0.11528, 0.23435, 0.42519,
   706, -27.47,  17.50, 0.52769, 0.17243, 0.29988, 0.11528, 0.23452, 0.42544,
   707, -25.58,  17.50, 0.52769, 0.17243, 0.29988, 0.11528, 0.23479, 0.42583,
   708, -23.68,  17.50, 0.52769, 0.17243, 0.29988, 0.11528, 0.23471, 0.42571,
   709, -21.79,  17.50, 0.60668, 0.23484, 0.15847, 0.12881, 0.24220, 0.41588,
   710, -19.89,  17.50, 0.60668, 0.23484, 0.15847, 0.12881, 0.24257, 0.41647,
   711, -18.00,  17.50, 0.58472, 0.17067, 0.24461, 0.10780, 0.22712, 0.41872,
   712, -16.11,  17.50, 0.69431, 0.18274, 0.12295, 0.10049, 0.21798, 0.40574,
   713, -14.21,  17.50, 0.75631, 0.17299, 0.07070, 0.09223, 0.20785, 0.39825,
